SP_CODE;SP_NAME;MN_CODE;MN_NAME;DC_MN_C;DC_NAME;PR_CODE;PR_NAME
10101000;Doringbaai;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10102000;Ebenhaesar;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10103000;Klawer;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10103001;Klawer Ward 12;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10104001;Koekenaap;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10105001;Lutzville BSB;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10105002;Lutzville West;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10105003;Uitkyk;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10106000;Matzikama;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10106001;Klawer;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10106002;Van Rhynsdorp;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10106003;Vredendal;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10107000;Strandfontein;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10108000;Vanrhynsdorp;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10108001;Maskamsig;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10108002;Van Rhynsdorp;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10109000;Vredendal Part 1;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10109001;Aiville Park;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10109002;Joe Slovo Park;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10109003;Vredendal;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10110001;Vredendal;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10111001;Vredendal North;101;Matzikama;1;West Coast District Municipality;1;WESTERN CAPE
10201001;Clanwilliam;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10201002;Piketberg;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10201003;Vredendal;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10202000;Citrusdal;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10202001;Heuwelsig;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10203000;Clanwilliam;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10203001;Hopland;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10204000;Elandsbaai;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10204001;Elandsbaai;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10205001;Graaffwater North;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10205002;Graaffwater South;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10206000;Lamberts Bay;102;Cederberg;1;West Coast District Municipality;1;WESTERN CAPE
10301000;Aurora;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10302001;Piketberg;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10303000;De Hoek;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10304000;Dwarskersbos;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10305000;Eendekuil;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10306000;Goedverwacht;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10307000;Piketberg;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10307001;Moravia;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10308000;Porterville;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10308001;Monte Bertha;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10309000;Redelinghuys;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10310000;Velddrift;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10310001;Laaiplek;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
10310002;Noordhoek;103;Bergrivier;1;West Coast District Municipality;1;WESTERN CAPE
